phase,experiment,architecture_id,dataset,dataset_config,encoder,F,seed,validation_accuracy,validation_binding_score,test_accuracy,test_binding_score,primary_accuracy,maximum_logged_validation_accuracy,maximum_logged_validation_binding,entered_normalized_binding_regime,entered_regime_050,high_test_success_080,success,present_value_baseline,global_chance_accuracy,d_input,d_model,n_layers,n_heads,head_dim,inner_dim,d_ff,parameter_count,batch_size,max_steps,final_step,learning_rate,weight_decay,elapsed_seconds,final_gradient_norm_before_clipping,final_q_rms,final_k_rms,final_v_rms,final_attention_logit_std,final_attention_entropy,final_attention_max_probability,learning_curve_csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,5,206,0.966064453125,0.95758056640625,,,0.966064453125,0.966064453125,0.95758056640625,True,True,False,True,0.2,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,1045.7501480579376,3.89959979057312,1.782610048850377,1.924272100130717,0.5795208662748337,13.66492243607839,0.3245489920179049,0.8714995582898458,agnews_capacity_mapping_H8_D32_F5_seed206.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,5,207,0.9619140625,0.952392578125,,,0.9619140625,0.962646484375,0.95330810546875,True,True,False,True,0.2,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,1043.7667446136477,3.6226491928100586,1.9056886235872903,1.8375078439712524,0.5687568038702011,13.593937973181406,0.3422116165359815,0.8664399087429047,agnews_capacity_mapping_H8_D32_F5_seed207.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,5,208,0.966796875,0.95849609375,,,0.966796875,0.966796875,0.95849609375,True,True,False,True,0.2,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,1041.8231806755066,3.7990994453430176,1.842679738998413,1.9191535115242004,0.5701701045036316,13.989932080109917,0.3365674962600072,0.8669864435990652,agnews_capacity_mapping_H8_D32_F5_seed208.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,5,209,0.7060546875,0.632568359375,,,0.7060546875,0.7060546875,0.632568359375,True,True,False,True,0.2,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,1053.1012725830078,6.010123252868652,1.6468105216821034,1.6635475158691406,0.5392248084147772,11.641240874926249,0.4607311189174652,0.8184072275956472,agnews_capacity_mapping_H8_D32_F5_seed209.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,6,200,0.160400390625,-0.0075195312499999,,,0.160400390625,0.177978515625,0.01357421875000001,False,False,False,False,0.1666666666666666,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,1172.46861743927,3.271486759185791,0.771764357884725,1.0212402244408925,0.4346095820267995,2.63302085796992,1.2673263649145765,0.4739011973142624,agnews_capacity_mapping_H8_D32_F6_seed200.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,6,201,0.159423828125,-0.0086914062499999,,,0.159423828125,0.181884765625,0.01826171875000001,False,False,False,False,0.1666666666666666,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,1171.2422432899475,3.3691251277923584,0.7670448919137319,0.9772282640139262,0.439267744620641,2.3677332599957785,1.2621902724107106,0.4806755681832631,agnews_capacity_mapping_H8_D32_F6_seed201.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,6,202,0.173828125,0.00859375,,,0.173828125,0.177001953125,0.01240234375000001,False,False,False,False,0.1666666666666666,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,1170.9722061157229,3.38796067237854,0.8375513255596161,0.9990411003430684,0.4384583483139674,2.620710571606954,1.1990346213181813,0.5148307134707769,agnews_capacity_mapping_H8_D32_F6_seed202.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,6,203,0.81787109375,0.7814453125,,,0.81787109375,0.8193359375,0.783203125,True,True,False,True,0.1666666666666666,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,1165.3676664829254,9.950804710388184,2.127201626698176,2.1599392692248025,0.542015959819158,21.401209870974224,0.3883226265509923,0.8464947938919067,agnews_capacity_mapping_H8_D32_F6_seed203.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,6,204,0.819091796875,0.78291015625,,,0.819091796875,0.819091796875,0.78291015625,True,True,False,True,0.1666666666666666,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,1164.5587499141693,9.353827476501465,2.022187888622284,2.106382211049398,0.5584695438543955,19.257109741369884,0.4260365813970566,0.8322477440039316,agnews_capacity_mapping_H8_D32_F6_seed204.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,6,205,0.171875,0.00625,,,0.171875,0.1806640625,0.01679687500000001,False,False,False,False,0.1666666666666666,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,1171.6000981330872,3.361636161804199,0.7594000101089478,0.9847995539506276,0.4382079889376958,2.430620809396108,1.273779779672623,0.4695054789384206,agnews_capacity_mapping_H8_D32_F6_seed205.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,6,206,0.1708984375,0.005078125,,,0.1708984375,0.17626953125,0.011523437500000011,False,False,False,False,0.1666666666666666,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,1173.1840789318085,3.375100612640381,0.8789696345726649,1.0827589631080627,0.4409257421890895,3.336953749259313,1.087990293900172,0.5543011526266733,agnews_capacity_mapping_H8_D32_F6_seed206.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,6,207,0.176025390625,0.01123046875,,,0.176025390625,0.1826171875,0.019140625000000012,False,False,False,False,0.1666666666666666,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,1172.0674498081207,3.58475112915039,0.7635814845561981,0.9559276799360912,0.433821087082227,2.17915208141009,1.2907902201016743,0.4667275597651799,agnews_capacity_mapping_H8_D32_F6_seed207.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,6,208,0.16650390625,-0.0001953124999999,,,0.16650390625,0.171875,0.006250000000000011,False,False,False,False,0.1666666666666666,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,1172.1786289215088,3.48063325881958,0.749490221341451,0.9798375964164734,0.4321990360816319,2.339387486378352,1.302243749300639,0.4620566815137863,agnews_capacity_mapping_H8_D32_F6_seed208.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,6,209,0.166748046875,9.765625000001108e-05,,,0.166748046875,0.18505859375,0.022070312500000012,False,False,False,False,0.1666666666666666,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,1173.0640115737915,3.385217428207397,0.7462340295314789,0.9429789582888284,0.434644157687823,2.189289927482605,1.3230068683624268,0.4516388575236003,agnews_capacity_mapping_H8_D32_F6_seed209.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,7,200,0.149169921875,0.0073649088541666,0.15771484375,0.017333984375,0.15771484375,0.155029296875,0.014200846354166675,False,False,False,False,0.1428571428571428,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,1166.9037444591522,3.507394552230835,0.7115837683280309,1.0242627759774523,0.4383878906567891,2.494627545277277,1.3732973635196686,0.4451858599980672,external_corpus_replication_H8_D32_F7_seed200.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,7,201,0.144775390625,0.0022379557291666,0.14013671875,-0.0031738281249999,0.14013671875,0.1533203125,0.012207031250000009,False,False,False,False,0.1428571428571428,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,1165.9220163822174,3.465394258499145,0.7412444899479548,0.9869466225306192,0.4473525683085124,2.315126657485962,1.4042763113975525,0.4330741117397944,external_corpus_replication_H8_D32_F7_seed201.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,7,202,0.15478515625,0.013916015625,0.1337890625,-0.0105794270833333,0.1337890625,0.15478515625,0.013916015625000009,False,False,False,False,0.1428571428571428,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,1165.2535717487335,3.461270809173584,0.7017649561166763,0.9701552093029022,0.4358736077944438,2.1089156170686087,1.4038467705249786,0.4325194905201594,external_corpus_replication_H8_D32_F7_seed202.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,7,203,0.1435546875,0.0008138020833333,0.142333984375,-0.0006103515624999,0.142333984375,0.154296875,0.013346354166666675,False,False,False,False,0.1428571428571428,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,1165.951854467392,3.437464475631714,0.7198181996742884,0.9604353805383048,0.4406520028909047,2.135463962952296,1.4044353167215984,0.4419685701529185,external_corpus_replication_H8_D32_F7_seed203.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,7,204,0.135009765625,-0.0091552734374999,0.1474609375,0.00537109375,0.1474609375,0.148681640625,0.006795247395833342,False,False,False,False,0.1428571428571428,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,1167.080777168274,3.752749443054199,0.7135318219661713,0.955915778875351,0.4320194522539775,1.9612840215365093,1.4588109254837036,0.4134491185347239,external_corpus_replication_H8_D32_F7_seed204.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,7,205,0.13232421875,-0.0122884114583333,0.151611328125,0.0102132161458333,0.151611328125,0.153076171875,0.01192220052083334,False,False,False,False,0.1428571428571428,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,1165.0855572223663,3.653141021728516,0.7126136819521586,1.0036968092123668,0.4474041561285655,2.324775000413259,1.4085111916065216,0.4290589392185211,external_corpus_replication_H8_D32_F7_seed205.csv
